index,year,iso_code,population,gdp,renewables_electricity,fossil_fuel_consumption,greenhouse_gas_emissions,energy_per_gdp
924,1999,BRA,171641544.0,1645887982219.0,301.3780212402344,1279.3680419921875,31.209999084472656,1.379177212715149
925,2000,BRA,174018278.0,1739728033832.0,312.260009765625,1346.812255859375,31.209999084472656,1.3589797019958496
926,2001,BRA,176301201.0,1785513006345.0,276.92999267578125,1377.541015625,34.7400016784668,1.2904142141342163
927,2002,BRA,178503485.0,1861742323845.0,296.4200134277344,1368.482177734375,33.63999938964844,1.2630831003189087
928,2003,BRA,180622688.0,1904932706436.0,317.6199951171875,1351.825439453125,33.040000915527344,1.252712965011597
929,2004,BRA,182675144.0,2038447931287.0,333.3800048828125,1425.7623291015625,39.43999862670898,1.22807776927948
930,2005,BRA,184688101.0,2129214530430.0,351.19000244140625,1446.6988525390625,39.86000061035156,1.2065776586532593
931,2006,BRA,186653099.0,2240805319046.0,363.8900146484375,1481.5897216796875,40.25,1.1788541078567505
932,2007,BRA,188552311.0,2405626901513.0,392.739990234375,1551.8441162109375,40.470001220703125,1.168320655822754
933,2008,BRA,190367297.0,2559842659987.0,390.5299987792969,1645.6337890625,52.630001068115234,1.1470836400985718
934,2009,BRA,192079958.0,2589568436235.0,415.1099853515625,1561.626708984375,40.72999954223633,1.129732608795166
935,2010,BRA,193701931.0,2820492538862.0,437.4100036621094,1753.8448486328125,58.880001068115234,1.1305594444274902
936,2011,BRA,195284736.0,2968455007203.0,463.6600036621094,1826.877197265625,53.04999923706055,1.1171883344650269
937,2012,BRA,196876113.0,3025484250011.0,456.1600036621094,1951.5302734375,70.91000366210938,1.1265418529510498
938,2013,BRA,198478290.0,3116394665745.0,438.5400085449219,2073.49267578125,95.80999755859376,1.1233991384506226
939,2014,BRA,200085126.0,3132099937531.0,432.75,2151.13525390625,113.94000244140624,1.1416095495224
940,2015,BRA,201675534.0,3021043246476.0,431.30999755859375,2089.389892578125,109.63999938964844,1.1702706813812256
941,2016,BRA,203218108.0,2922076150345.0,465.8200073242188,1935.608642578125,86.62999725341797,1.181165099143982
942,2017,BRA,204703440.0,2960731613785.0,467.0199890136719,1960.4471435546875,91.86000061035156,1.1745842695236206
943,2018,BRA,206107265.0,3013541086239.0,495.2900085449219,1867.517578125,82.36000061035156,1.1569041013717651
944,2019,BRA,207455459.0,3050327159562.0,515.4400024414062,1872.509033203125,89.88999938964844,1.169389009475708
945,2020,BRA,208660845.0,2950377451264.0,522.9199829101562,1734.183349609375,83.8499984741211,1.1599971055984497
946,2021,BRA,209550291.0,3097565215045.0,507.8699951171875,1939.3363037109373,110.31999969482422,1.1561334133148191
947,2022,BRA,210306411.0,3187412907763.0,593.8900146484375,1872.79150390625,70.01000213623047,1.1707669496536257
948,2023,BRA,211140731.0,3187412907763.0,630.1900024414062,1883.229736328125,68.16000366210938,1.1707669496536257
949,2024,BRA,211998565.0,3187412907763.0,651.260009765625,1889.178466796875,79.08999633789062,1.1707669496536257
950,2025,BRA,212812397.0,3187412907763.0,649.969970703125,1889.178466796875,82.5199966430664,1.1707669496536257
951,1990,VGB,15727.0,0.0,0.0,0.0,0.0700000002980232,0.0
952,1991,VGB,16208.0,0.0,0.0,0.0,0.0700000002980232,0.0
953,1992,VGB,16615.0,0.0,0.0,0.0,0.0700000002980232,0.0
954,1993,VGB,17008.0,0.0,0.0,0.0,0.0700000002980232,0.0
955,1994,VGB,17430.0,0.0,0.0,0.0,0.0700000002980232,0.0
956,1995,VGB,17863.0,0.0,0.0,0.0,0.0700000002980232,0.0
957,1996,VGB,18308.0,0.0,0.0,0.0,0.0700000002980232,0.0
958,1997,VGB,18783.0,0.0,0.0,0.0,0.0700000002980232,0.0
959,1998,VGB,19262.0,0.0,0.0,0.0,0.0700000002980232,0.0
960,1999,VGB,19755.0,0.0,0.0,0.0,0.0700000002980232,0.0
961,2000,VGB,20266.0,0.0,0.0,0.0,0.0700000002980232,0.0
962,2001,VGB,20825.0,0.0,0.0,0.0,0.0799999982118606,0.0
963,2002,VGB,21454.0,0.0,0.0,0.0,0.0900000035762786,0.0
964,2003,VGB,22155.0,0.0,0.0,0.0,0.0900000035762786,0.0
965,2004,VGB,22905.0,0.0,0.0,0.0,0.1000000014901161,0.0
966,2005,VGB,23693.0,0.0,0.0,0.0,0.1099999994039535,0.0
967,2006,VGB,24519.0,0.0,0.0,0.0,0.1099999994039535,0.0
968,2007,VGB,25391.0,0.0,0.0,0.0,0.1199999973177909,0.0
969,2008,VGB,26308.0,0.0,0.0,0.0,0.1199999973177909,0.0
970,2009,VGB,27240.0,0.0,0.0,0.0,0.1299999952316284,0.0
